date;Germany;India;Italy
2020-01-22;0;0;0
2020-01-23;0;0;0
2020-01-24;0;0;0
2020-01-25;0;0;0
2020-01-26;0;0;0
2020-01-27;1;0;0
2020-01-28;4;0;0
2020-01-29;4;0;0
2020-01-30;4;1;0
2020-01-31;5;1;2
2020-02-01;8;1;2
2020-02-02;10;2;2
2020-02-03;12;3;2
2020-02-04;12;3;2
2020-02-05;12;3;2
2020-02-06;12;3;2
2020-02-07;13;3;3
2020-02-08;13;3;3
2020-02-09;14;3;3
2020-02-10;14;3;3
2020-02-11;16;3;3
2020-02-12;16;3;3
2020-02-13;16;3;3
2020-02-14;16;3;3
2020-02-15;16;3;3
2020-02-16;16;3;3
2020-02-17;16;3;3
2020-02-18;16;3;3
2020-02-19;16;3;3
2020-02-20;16;3;3
2020-02-21;16;3;20
2020-02-22;16;3;62
2020-02-23;16;3;155
2020-02-24;16;3;229
2020-02-25;16;3;322
2020-02-26;21;3;453
2020-02-27;26;3;655
2020-02-28;53;3;888
2020-02-29;66;3;1128
2020-03-01;117;3;1694
2020-03-02;150;5;2036
2020-03-03;188;5;2502
2020-03-04;240;28;3089
2020-03-05;349;30;3858
2020-03-06;534;31;4636
2020-03-07;684;34;5883
2020-03-08;847;39;7375
2020-03-09;1112;43;9172
2020-03-10;1296;56;10149
2020-03-11;1567;62;12462
2020-03-12;2369;73;15113
2020-03-13;3062;82;17660
2020-03-14;3795;102;21157
2020-03-15;4838;113;24747
2020-03-16;6012;119;27980
2020-03-17;7156;142;31506
2020-03-18;8198;156;35713
2020-03-19;10999;194;41035
2020-03-20;13957;244;47021
2020-03-21;16662;330;53578
2020-03-22;18610;396;59138
2020-03-23;22672;499;63927
2020-03-24;27436;536;69176
2020-03-25;31554;657;74386
2020-03-26;36508;727;80589
2020-03-27;42288;887;86498
2020-03-28;48582;987;92472
2020-03-29;52547;1024;97689
2020-03-30;57298;1251;101739
2020-03-31;61913;1397;105792
2020-04-01;67366;1998;110574
2020-04-02;73522;2543;115242
2020-04-03;79696;2567;119827
2020-04-04;85778;3082;124632
2020-04-05;91714;3588;128948
2020-04-06;95391;4778;132547
2020-04-07;99225;5311;135586
2020-04-08;103228;5916;139422
2020-04-09;108202;6725;143626
2020-04-10;113525;7598;147577
2020-04-11;117658;8446;152271
2020-04-12;120479;9205;156363
2020-04-13;123016;10453;159516
2020-04-14;125098;11487;162488
2020-04-15;127584;12322;165155
2020-04-16;130450;13430;168941
2020-04-17;133830;14352;172434
2020-04-18;137439;15722;175925
2020-04-19;139897;17615;178972
2020-04-20;141672;18539;181228
2020-04-21;143457;20080;183957
2020-04-22;145694;21370;187327
2020-04-23;148046;23077;189973
2020-04-24;150383;24530;192994
2020-04-25;152438;26283;195351
2020-04-26;154175;27890;197675
2020-04-27;155193;29451;199414
2020-04-28;156337;31324;201505
2020-04-29;157641;33062;203591
2020-04-30;159119;34863;205463
2020-05-01;160758;37257;207428
2020-05-02;161703;39699;209328
2020-05-03;162496;42505;210717
2020-05-04;163175;46437;211938
2020-05-05;163860;49400;213013
2020-05-06;164807;52987;214457
2020-05-07;166091;56351;215858
2020-05-08;167300;59695;217185
2020-05-09;168551;62808;218268
2020-05-10;169218;67161;219070
2020-05-11;169575;70768;219814
2020-05-12;170508;74292;221216
2020-05-13;171306;78055;222104
2020-05-14;172239;81997;223096
2020-05-15;173152;85784;223885
2020-05-16;173772;90648;224760
